,Titulo,Precio,Ubicacion
0,Jeep Renegade Sport At,2.799.000,Capital Federal - Capital Federal
1,Kia Sorento 2.2 Crdi Ex At 4x2,49.000,Capital Federal - Capital Federal
2,Audi Q8 55 Tfsi,174.363,Quilmes - Bs.As. G.B.A. Sur
3,Citroën Ds3 1.6 Vti 120 So Chic,1.989.999,Castelar - Bs.As. G.B.A. Oeste
4,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,3.600.000,Pilar - Bs.As. G.B.A. Norte
5,Volkswagen Polo 1.6 Msi Trendline At,1.720.000,Pilar - Bs.As. G.B.A. Norte
6,Jeep Renegade 1.8 Sport,2.901.005,Berazategui - Bs.As. G.B.A. Sur
7,Toyota Ch-r 1.8 Ecvt Hv,60.600,Capital Federal - Capital Federal
8,Volkswagen Polo 1.6 Msi Trendline At,1.750.000,Pilar - Bs.As. G.B.A. Norte
9,Volkswagen Vento 1.4 Highline 150cv At,5.350.000,Pilar - Bs.As. G.B.A. Norte
10,Volkswagen Nivus 1.0 Tsi Tiptronic Highline Anticipo $3.645.000 12 Cuotas Fijas De $39.000 Leasing Resolución Inmediata,3.647.000,San Miguel - Bs.As. G.B.A. Norte
11,Volkswagen Nivus 1.0 Tsi Tiptronic Highline Anticipo $3.645.000 12 Cuotas Fijas De $39.000 Leasing Resolución Inmediata,3.646.000,La Matanza - Bs.As. G.B.A. Oeste
12,Volkswagen Nivus 1.0 Tsi Tiptronic Highline Anticipo $3.645.000 12 Cuotas Fijas De $39.000 Leasing Resolución Inmediata,3.645.000,Capital Federal - Capital Federal
13,Volkswagen Amarok 3.0 V6 Extreme Black Style 4x4 At Anticipo $7.300.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,6.630.000,Mendoza - Mendoza
14,Volkswagen Amarok 3.0 V6 Extreme Black Style 4x4 At Anticipo $7.300.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,6.640.000,Córdoba - Córdoba
15,Citroën C3 1.5 Tendance Pack Secure I 90cv,1.150.000,La Matanza - Bs.As. G.B.A. Oeste
16,Volkswagen Amarok 3.0 V6 Cd Highline 4x4 At Anticipo $6.750.000 Saldo 12 Cuotas Fijas En Pesos $63.000 Leasing Resolución Inmediata,6.479.000,Capital Federal - Capital Federal
17,Volkswagen Amarok 3.0 V6 Cd Highline 4x4 At Anticipo $6.750.000 Saldo 12 Cuotas Fijas En Pesos $63.000 Leasing Resolución Inmediata,6.480.000,San Juan Capital - San Juan
18,Volkswagen Amarok 3.0 V6 Comfortline 4x4 At Anticipo $5.300.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,4.989.000,Rosario - Santa Fe
19,Volkswagen Amarok 3.0 V6 Comfortline 4x4 At Anticipo $5.300.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,4.980.000,Mendoza - Mendoza
20,Volkswagen Amarok 2.0 Cd Tdi 180 Cv Highline At 4x4 Anticipo $5.950.000 Saldo 12 Cuotas Fijas En Pesos $63.000 Leasing Resolución Inmediata,5.399.000,Rosario - Santa Fe
21,Volkswagen Amarok 2.0 Cd Tdi 180 Cv Highline At 4x4 Anticipo $5.950.000 Saldo 12 Cuotas Fijas En Pesos $63.000 Leasing Resolución Inmediata,5.400.000,Capital Federal - Capital Federal
22,Bmw Serie 3 3.0 330i Sportive Steptro.,2.450.000,Capital Federal - Capital Federal
23,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline At 4x2 Anticipo $4.850.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,4.849.000,La Plata - Bs.As. G.B.A. Sur
24,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline At 4x2 Anticipo $4.850.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,4.850.000,Capital Federal - Capital Federal
25,Volkswagen Golf 1.4 Highline Tsi Dsg,17.500,Capital Federal - Capital Federal
26,Peugeot 3008 2.0 Gt-line Hdi Tiptronic,5.000.000,Capital Federal - Capital Federal
27,Volkswagen Amarok 3.0 V6 Cd Highline,6.487.000,Capital Federal - Capital Federal
28,Volkswagen Amarok 2.0 Cd Tdi 180 Cv Comfortline At 4x2 Anticipo $4.050.000 Saldo 12 Cuotas Fijas En Pesos $63.000 Leasing Resolución Inmediata,4.049.000,La Matanza - Bs.As. G.B.A. Oeste
29,Volkswagen Amarok 2.0 Cd Tdi 180 Cv Comfortline At 4x2 Anticipo $4.050.000 Saldo 12 Cuotas Fijas En Pesos $63.000 Leasing Resolución Inmediata,4.050.000,Capital Federal - Capital Federal
30,Honda Accord 2.4 Ex-l At G9,3.500.000,Capital Federal - Capital Federal
31,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline 4x2 Manual Anticipo $3.650.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,3.649.000,Pilar - Bs.As. G.B.A. Norte
32,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline 4x2 Manual Anticipo $3.650.000 Saldo 12 Cuotas Fijas En Pesos $83.000 Leasing Resolucion Inmediata,3.650.000,Capital Federal - Capital Federal
33,Chevrolet Onix Plus 1.0 Turbo Premier Ii At,2.699.900,Capital Federal - Capital Federal
34,Fiat Cronos 1.3 Gse Drive,1.550.610,Capital Federal - Capital Federal
35,Fiat Cronos 1.3 Gse Drive,1.550.601,Vicente López - Bs.As. G.B.A. Norte
36,Alfa Romeo Giulietta 1.4 Distinctive 170cv At,2.950.000,San Fernando - Bs.As. G.B.A. Norte
37,Volvo S60 2.0 T5 High Plus 240cv At,2.300.000,Capital Federal - Capital Federal
38,Mercedes-benz Clase Cls 3.5 Cls350 E-coupe B.efficiency 306cv,4.900.000,Capital Federal - Capital Federal
39,Volkswagen Golf 1.6 Trendline,1.700.000,Capital Federal - Capital Federal
40,Chevrolet Equinox 1.5t Lt 2wd,3.904.000,Capital Federal - Capital Federal
41,Fiat Cronos 1.8 16v Precision Pack Premium,1.900.055,Escobar - Bs.As. G.B.A. Norte
42,Fiat Cronos 1.8 16v Precision Pack Premium,1.900.055,José C. Paz - Bs.As. G.B.A. Norte
43,Fiat Cronos 1.8 16v Precision Pack Premium,1.900.050,General San Martín - Bs.As. G.B.A. Norte
44,Fiat Cronos 1.8 16v Precision Pack Premium,1.900.005,General San Martín - Bs.As. G.B.A. Norte
